subject,mean_reward,accuracy,mean conf,reward,cor,cj,fwd_emp,model,x_idx
46384,0.5550985436405,0.78,3.8163766393435052,0.56902050075575,0.8575,3.805959245245,-0.07750000000000001,lv_induction,22
46450,0.56171550273075,0.8175,3.1496846542996666,0.56686964792725,0.84,3.15048270789,-0.022499999999999964,lv_induction,23
46471,0.5608073281005,0.815,3.809623064554952,0.5713383132205,0.8675,3.73631318286,-0.0525000000000001,lv_induction,24
46486,0.56817341085425,0.84,3.164482147681465,0.5759445853405,0.8775,3.0458867544949997,-0.03749999999999998,lv_induction,25
46489,0.511653697159,0.56,4.599962964077401,0.5309040493780001,0.6325,4.5999629629675,-0.0724999999999999,lv_induction,26
46522,0.56623813521525,0.8275,3.153170646001241,0.570502999971,0.8525,3.0480023583949998,-0.025000000000000022,lv_induction,27
46552,0.54597504442875,0.7225,4.747816586422093,0.5857237374005,0.9225,4.7279988742025,-0.19999999999999996,lv_induction,28
46555,0.55890256936,0.8,2.7907809999337174,0.57490828228825,0.8675,2.8056790802299996,-0.0675,lv_induction,29
46573,0.5530134560287501,0.7575,4.095174268184741,0.58219814756725,0.8925,4.0804041320275,-0.135,lv_induction,30
46591,0.56062095108475,0.7975,3.9732706605084673,0.5647758147285,0.8225,4.06816603532,-0.025000000000000022,lv_induction,31
46633,0.5282959862475,0.6525,4.480355830541769,0.56258725168775,0.8025,4.481494922705,-0.15000000000000002,lv_induction,32
46672,0.5667426368175,0.8325,3.8890035836962125,0.5792126532245,0.9025,3.9423711465725,-0.06999999999999995,lv_induction,33
46687,0.55182124660775,0.7625,4.495015367650459,0.58142130176325,0.9025,4.4198541845325,-0.14,lv_induction,34
46702,0.55842649314825,0.7675,4.753601114396145,0.5835696654182501,0.915,4.717138070255,-0.14750000000000008,lv_induction,35
46729,0.56613672740125,0.815,4.291502693923786,0.57661626570575,0.8725,4.282760942805,-0.05750000000000011,lv_induction,36
46750,0.561613639877,0.7925,2.52539394607935,0.5597839541830001,0.775,2.5143940040025,0.01749999999999996,lv_induction,37
46756,0.54373769644025,0.7175,2.650173396409823,0.57769391926725,0.8675,2.637850729525,-0.15000000000000002,lv_induction,38
46792,0.5463080424447501,0.73,4.619973159403673,0.5840475611117499,0.91,4.6031200897875,-0.18000000000000005,lv_induction,39
46822,0.5567789786315,0.7825,3.8132263460319895,0.57459880409475,0.8725,3.779730723375,-0.09000000000000008,lv_induction,40
46828,0.551066321714,0.745,4.285972748899447,0.5799317403199999,0.8975,4.3198421717175,-0.15249999999999997,lv_induction,41
46912,0.567409043028,0.8375,3.4144405052837756,0.58242145882025,0.905,3.429349171045,-0.0675,lv_induction,42
46915,0.5582759454105,0.7875,3.768426564505122,0.58700541354075,0.935,3.76925505049,-0.14750000000000008,lv_induction,43
46927,0.55363530757425,0.7675,4.684861797593781,0.57189700558975,0.8775,4.6877217291025,-0.10999999999999999,lv_induction,44
47008,0.5586603388525,0.78,4.011325221094914,0.5776863887732501,0.8825,3.9956184658375005,-0.10249999999999992,lv_induction,45
47182,0.55740551396575,0.7975,4.256733524413335,0.57591095251275,0.88,4.2447588340925,-0.08250000000000002,lv_induction,46
47269,0.56515111675075,0.82,3.8292616424997474,0.57410808889875,0.87,3.8060795454475,-0.050000000000000044,lv_induction,47
47284,0.56809654297525,0.835,4.245276238462417,0.5793700225180001,0.8875,4.2391976328325,-0.05249999999999999,lv_induction,48
47317,0.55744249418975,0.795,3.76244903703158,0.5787933809420001,0.9025,3.7679069157675,-0.10749999999999993,lv_induction,49
47431,0.56322932464975,0.8,4.293724555814744,0.5668766044720001,0.8225,4.202407441995,-0.022499999999999964,lv_induction,50
47470,0.556079379725,0.7675,4.837695366665105,0.575512297618,0.8725,4.8366780829,-0.1050000000000001,lv_induction,51
47737,0.55296215831675,0.77,2.9800495758209733,0.5713845505575,0.8475,3.005954060985,-0.07750000000000001,lv_induction,52
47740,0.54968544312525,0.7425,3.4611835350476254,0.55645668650575,0.775,3.484786853735,-0.03249999999999997,lv_induction,53
47743,0.56487290385825,0.8275,4.424539649401879,0.588506732419,0.9375,4.3840404040425,-0.10999999999999999,lv_induction,54
45628,0.5291826219662407,0.6265664160401002,4.7112049723059135,0.5603221058201504,0.7744360902255639,4.707174783200501,-0.1478696741854637,hv_induction,201
45640,0.5224592227189223,0.606516290726817,2.956059308113658,0.5535419915489473,0.7669172932330827,2.95931473735589,-0.16040100250626566,hv_induction,202
45664,0.53592038629,0.6791979949874687,3.320342449686884,0.5345099104397744,0.6591478696741855,3.2991992620601507,0.020050125313283207,hv_induction,203
45682,0.5299794470319048,0.631578947368421,3.09259181020979,0.5361432310112031,0.681704260651629,2.9186088721854637,-0.05012531328320802,hv_induction,204
45745,0.5315333576117294,0.6666666666666666,4.802653684197914,0.5906816274790727,0.9298245614035088,4.800983950614035,-0.26315789473684215,hv_induction,205
45760,0.5382013109704511,0.706766917293233,3.9312692159496203,0.5682281921418546,0.7844611528822055,3.747069771421053,-0.07769423558897248,hv_induction,206
45763,0.5323097391614035,0.6741854636591479,4.469500656908333,0.5659423863694737,0.8295739348370927,4.483208585714286,-0.15538847117794485,hv_induction,207
